jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Jorge Cuenca;ESP;DF;Getafe;es La Liga;21;32;31;2683;1;0,8;1;16;6;37,5;0,06;0,17;11;0;0;0;0,7;0,7;0,04;0,3;0,3;747;1070;69,8;6000000
Jorge Meré;ESP;DF;Köln;de Bundesliga;24;8;5;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;300;86,7;2500000
Jorge Miramón;ESP;DF;Levante;es La Liga;32;29;22;1977;1;1,3;1;7;2;28,6;0,14;0,5;18,1;0;0;0;0,7;0,7;0,1;0,3;0,3;793;1037;76,5;1920000
Jorge Molina;ESP;FW;Granada;es La Liga;39;35;19;1966;10;8,4;10;45;22;48,9;0,22;0,45;13,1;0;0;1;6,1;5,3;0,12;3,9;4,7;344;532;64,7;1185714
Jorge de Frutos;ESP;MF,FW;Levante;es La Liga;24;25;20;1760;4;9,1;4;46;20;43,5;0,09;0,2;15,3;0;0;0;5,8;5,8;0,13;-1,8;-1,8;345;509;67,8;9857142
Jorginho;ITA;MF;Chelsea;eng Premier League;29;29;26;2273;0;3,2;6;9;2;22,2;0;0;29,7;0;6;7;5,7;0,4;0,05;0,3;-0,4;1664;1856;89,7;41666666
Joris Chotard;FRA;MF;Montpellier;fr Ligue 1;19;36;33;2935;1;1,7;1;19;4;21,1;0,05;0,25;20,4;0;0;0;0,9;0,9;0,05;0,1;0,1;1111;1310;84,8;9000000
Josan;ESP;DF,MF;Elche;es La Liga;31;31;10;1211;2;4,8;2;12;4;33,3;0,17;0,5;15,2;0;0;0;1,2;1,2;0,1;0,8;0,8;380;539;70,5;950000
Joscha Wosz;GER;DF;RB Leipzig;de Bundesliga;19;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;75;340000
Joselu;ESP;FW;Alavés;es La Liga;31;37;35;3122;8;11;14;90;33;36,7;0,09;0,24;18;3;6;7;12,4;7;0,08;1,6;1;687;1122;61,2;5833333
Josema;ESP;DF;Elche;es La Liga;25;6;1;183;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;61;59;880000
Joseph Aidoo;GHA;DF;Celta Vigo;es La Liga;25;32;30;2637;0;0,5;0;6;1;16,7;0;0;12,8;0;0;0;0,4;0,4;0,07;-0,4;-0,4;1263;1523;82,9;6428571
Josh Brownhill;ENG;MF;Burnley;eng Premier League;25;35;32;2955;2;3,9;2;29;9;31;0,07;0,22;22,2;4;0;0;1,4;1,4;0,05;0,6;0,6;900;1191;75,6;8666666
Josh Dasilva;ENG;MF,FW;Brentford;eng Premier League;22;9;2;257;0;0,2;0;1;0;0;0;0;14,2;0;0;0;0;0;0,05;0;0;71;88;80,7;9800000
Josh Maja;NGA;FW;Bordeaux;fr Ligue 1;22;2;0;9;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;83,3;4400000
Josh Sargent;USA;FW,MF;Norwich City;eng Premier League;21;26;18;1572;2;3,5;2;26;2;7,7;0,08;1;15,3;0;0;0;2,7;2,7;0,11;-0,7;-0,7;298;402;74,1;8833333
Joshua Kimmich;GER;MF;Bayern Munich;de Bundesliga;26;28;28;2474;3;11,2;3;27;8;29,6;0,11;0,38;23,8;0;0;0;2,1;2,1;0,08;0,9;0,9;2199;2585;85,1;85000000
Joshua King;NOR;FW;Watford;eng Premier League;29;32;27;2248;4;10,4;5;48;18;37,5;0,08;0,22;14,7;0;1;1;8;7,2;0,15;-3;-3,2;387;524;73,9;7428571
Josip Brekalo;CRO;FW,MF;Torino;it Serie A;23;32;26;2286;7;9,9;7;44;17;38,6;0,16;0,41;18,6;2;0;0;4,7;4,7;0,11;2,3;2,3;846;1179;71,8;11375000
Josuha Guilavogui;FRA;MF,DF;Bordeaux;fr Ligue 1;30;15;15;1331;1;2,4;1;9;3;33,3;0,11;0,33;18,6;0;0;0;1,4;1,4;0,16;-0,4;-0,4;671;820;81,8;4500000
Josué Albert;GUF;DF;Clermont Foot;fr Ligue 1;29;2;0;22;0;0;0;1;0;0;0;0;18,6;0;0;0;0;0;0,05;0;0;6;8;75;300000
José Callejón;ESP;FW;Fiorentina;it Serie A;34;30;16;1298;1;4,8;1;17;6;35,3;0,06;0,17;14,6;1;0;0;1,7;1,7;0,1;-0,7;-0,7;486;619;78,5;1540000
José Campaña;ESP;MF;Levante;es La Liga;28;20;16;1422;2;2,2;2;12;5;41,7;0,17;0,4;20,8;1;0;1;1,6;0,8;0,06;0,4;1,2;714;882;81;10944444
José Fonte;POR;DF;Lille;fr Ligue 1;37;38;38;3420;0;2,4;0;23;6;26,1;0;0;9,8;0;0;0;1,6;1,6;0,07;-1,6;-1,6;1815;2090;86,8;1000000
José Fontán;ESP;DF;Celta Vigo;es La Liga;21;9;3;276;0;0,2;0;1;0;0;0;0;13;0;0;0;0,1;0,1;0,13;-0,1;-0,1;172;204;84,3;783333
José Juan Macías;MEX;FW,MF;Getafe;es La Liga;21;7;2;201;0;0,2;0;4;0;0;0;0;18,2;0;0;0;0,2;0,2;0,05;-0,2;-0,2;30;45;66,7;6166666
José Luis Morales;ESP;FW,MF;Levante;es La Liga;34;35;31;2719;10;17,5;13;76;32;42,1;0,13;0,31;19,1;2;3;5;14,4;10,6;0,14;-1,4;-0,6;518;780;66,4;4857142
José Luis Palomino;ARG;DF;Atalanta;it Serie A;31;34;30;2672;1;2,2;1;14;3;21,4;0,07;0,33;7,6;0;0;0;1,8;1,8;0,13;-0,8;-0,8;1362;1649;82,6;6500000
José Mari;ESP;MF;Cádiz;es La Liga;33;11;4;386;0;0,4;0;4;1;25;0;0;13,2;0;0;0;0,4;0,4;0,09;-0,4;-0,4;156;192;81,3;440000
José María Giménez;URU;DF;Atlético Madrid;es La Liga;26;24;24;2042;1;1,3;1;18;5;27,8;0,06;0,2;12,4;0;0;0;1,2;1,2;0,07;-0,2;-0,2;820;916;89,5;50625000
José Pozo;ESP;MF;Rayo Vallecano;es La Liga;25;5;0;72;0;0,5;0;3;0;0;0;0;17,5;0;0;0;0,1;0,1;0,04;-0,1;-0,1;45;52;86,5;1360000
José Sá;POR;GK;Wolves;eng Premier League;28;37;37;3285;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;740;1089;68;13100000
João Cancelo;POR;DF;Manchester City;eng Premier League;27;36;36;3227;1;9,3;1;81;23;28,4;0,01;0,04;21,5;1;0;0;4,1;4,1;0,05;-3,1;-3,1;2752;3282;83,9;60000000
João Félix;POR;FW,MF;Atlético Madrid;es La Liga;21;24;13;1263;8;8,6;8;39;15;38,5;0,21;0,53;14,5;1;0;0;5;5;0,13;3;3;342;460;74,3;72500000
João Moutinho;POR;MF;Wolves;eng Premier League;34;35;34;2970;2;3,5;2;20;7;35;0,1;0,29;23,7;4;0;0;1;1;0,05;1;1;1671;1983;84,3;1150000
João Pedro;ITA;FW;Cagliari;it Serie A;29;37;37;3323;10;13;13;87;33;37,9;0,11;0,3;14,3;2;3;4;12,9;9,9;0,11;0,1;0,1;523;736;71,1;11583333
Joël Veltman;NED;DF;Brighton;eng Premier League;29;34;33;2874;1;2;1;12;2;16,7;0,08;0,5;16,6;0;0;0;0,9;0,9;0,07;0,1;0,1;1440;1843;78,1;7800000
Josko Gvardiol;CRO;DF;RB Leipzig;de Bundesliga;19;29;28;2409;2;4,3;2;23;7;30,4;0,09;0,29;15,2;0;0;0;2,5;2,5;0,11;-0,5;-0,5;1758;2100;83,7;43428571
Juan Bernat;ESP;DF;Paris S-G;fr Ligue 1;28;15;12;958;0;0,8;0;1;1;100;0;0;12,8;0;0;0;0,2;0,2;0,2;-0,2;-0,2;648;701;92,4;13000000
Juan Cuadrado;COL;DF,MF;Juventus;it Serie A;33;33;28;2487;4;7;4;36;13;36,1;0,11;0,31;21,1;5;0;0;2;2;0,06;2;2;1589;1868;85,1;9750000
Juan Foyth;ARG;DF;Villarreal;es La Liga;23;25;22;1924;1;2,3;1;6;2;33,3;0,17;0,5;11,3;0;0;0;0,5;0,5;0,09;0,5;0,5;1000;1180;84,7;17833333
Juan Jesus;BRA;DF;Napoli;it Serie A;30;21;14;1278;1;0,7;1;4;1;25;0,25;1;8,3;0;0;0;0,6;0,6;0,14;0,4;0,4;753;842;89,4;3300000
Juan Mata;ESP;MF;Manchester Utd;eng Premier League;33;7;2;235;0;0,5;0;5;1;20;0;0;16;0;0;0;0,3;0,3;0,06;-0,3;-0,3;182;211;86,3;2828571
Juan Miranda;ESP;DF;Betis;es La Liga;21;13;9;783;0;1,6;0;6;2;33,3;0;0;27,7;2;0;0;0,1;0,1;0,02;-0,1;-0,1;394;515;76,5;5833333
Juan Musso;ARG;GK;Atalanta;it Serie A;27;33;33;2932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;705;951;74,1;17600000
Juan Pérez;ESP;GK;Osasuna;es La Liga;25;2;2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;42;40,5;560000
Juanmi;ESP;FW;Betis;es La Liga;28;33;26;2131;16;14,3;16;55;30;54,5;0,29;0,53;13,5;0;0;0;11,8;11,8;0,21;4,2;4,2;417;520;80,2;8333333
Jude Bellingham;ENG;MF;Dortmund;de Bundesliga;18;32;32;2790;3;8,8;3;44;12;27,3;0,07;0,25;17,3;0;0;0;4,2;4,2;0,1;-1,2;-1,2;1298;1536;84,5;81666666
Julen Agirrezabala;ESP;GK;Athletic Club;es La Liga;20;4;4;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;82;74,4;3262500
Julen Lobete;ESP;FW,MF;Real Sociedad;es La Liga;20;13;2;284;2;1,5;2;10;2;20;0,2;1;13,9;0;0;0;1,5;1,5;0,15;0,5;0,5;45;59;76,3;3000000
Jules Koundé;FRA;DF;Sevilla;es La Liga;22;32;31;2736;2;3,1;2;14;3;21,4;0,14;0,67;10,8;0;0;0;1,2;1,2;0,08;0,8;0,8;1903;2124;89,6;58333333
Julian Baumgartlinger;AUT;MF;Leverkusen;de Bundesliga;33;6;1;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;66;87,9;1350000
Julian Brandt;GER;MF,FW;Dortmund;de Bundesliga;25;31;22;2078;9;9,3;9;34;15;44,1;0,26;0,6;16,5;0;0;0;4,7;4,7;0,14;4,3;4,3;1043;1330;78,4;27571428
Julian Chabot;GER;DF;Köln;de Bundesliga;23;4;2;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;150;80;2660000
Julian Draxler;GER;FW,MF;Paris S-G;fr Ligue 1;27;18;5;548;2;2,9;2;9;3;33,3;0,22;0,67;14,6;0;0;0;1,4;1,4;0,16;0,6;0,6;275;302;91,1;16333333
Julian Eitschberger;GER;DF;Hertha BSC;de Bundesliga;17;1;1;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;31;71;283333
Julian Green;USA;MF;Greuther Fürth;de Bundesliga;26;24;12;1054;0;1,1;0;18;5;27,8;0;0;25,9;1;0;0;0,6;0,6;0,04;-0,6;-0,6;325;430;75,6;1200000
Julian Kristoffersen;NOR;FW;Salernitana;it Serie A;24;1;0;7;0;0;0;1;0;0;0;0;11;0;0;0;0;0;0,05;0;0;1;2;50;275000
Julian Pollersbeck;GER;GK;Lyon;fr Ligue 1;26;6;4;436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;176;86,9;700000
Julian Ryerson;NOR;DF;Union Berlin;de Bundesliga;23;28;13;1429;2;3,5;2;16;6;37,5;0,13;0,33;18,8;0;0;0;1,6;1,6;0,1;0,4;0,4;493;653;75,5;4928571
Julien Faussurier;FRA;MF,DF;Brest;fr Ligue 1;34;16;4;489;0;1;0;4;3;75;0;0;15,9;0;0;0;0,4;0,4;0,1;-0,4;-0,4;199;266;74,8;440000
Julien Laporte;FRA;DF;Lorient;fr Ligue 1;27;33;33;2891;2;1,7;2;17;3;17,6;0,12;0,67;12,9;0;0;0;1,3;1,3;0,08;0,7;0,7;1223;1422;86;2600000
Junior Dina Ebimbe;FRA;MF;Paris S-G;fr Ligue 1;20;10;4;316;0;0,2;0;4;1;25;0;0;24,3;0;0;0;0,1;0,1;0,03;-0,1;-0,1;192;213;90,1;5900000
Junior Firpo;ESP;DF;Leeds United;eng Premier League;24;24;19;1711;0;3,5;0;12;1;8,3;0;0;13,3;0;0;0;0,9;0,9;0,08;-0,9;-0,9;775;931;83,2;11000000
Junior Messias;BRA;FW,MF;Milan;it Serie A;30;26;14;1428;5;5,6;5;44;17;38,6;0,11;0,29;17,4;0;0;0;3,6;3,6;0,08;1,4;1,4;369;547;67,5;5400000
Junior Mwanga;FRA;DF;Bordeaux;fr Ligue 1;18;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;58;82,8;1233333
Junior Sambia;FRA;DF,FW;Montpellier;fr Ligue 1;24;30;16;1533;1;1,9;1;21;6;28,6;0,05;0,17;23,6;3;0;0;1,4;1,4;0,07;-0,4;-0,4;562;730;77;5000000
Juraj Kucka;SVK;MF;Watford;eng Premier League;34;26;22;1920;1;4,1;1;46;11;23,9;0,02;0,09;19,7;3;0;0;3,1;3,1;0,07;-2,1;-2,1;488;697;70;2075000
Jurgen Ekkelenkamp;NED;MF,FW;Hertha BSC;de Bundesliga;21;21;6;718;3;2,7;3;14;4;28,6;0,21;0,75;13,9;0;0;0;1,9;1,9;0,14;1,1;1,1;162;240;67,5;4237500
Justin Che;USA;DF,MF;Hoffenheim;de Bundesliga;17;2;0;41;0;0,1;0;1;0;0;0;0;11,4;0;0;0;0,1;0,1;0,08;-0,1;-0,1;23;27;85,2;2666666
Justin Hoogma;NED;DF;Greuther Fürth;de Bundesliga;23;3;3;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;171;83,6;1625000
Justin Kluivert;NED;MF;Nice;fr Ligue 1;22;27;24;1868;4;7,6;4;30;10;33,3;0,13;0,4;17,9;2;0;0;3,3;3,3;0,11;0,7;0,7;450;699;64,4;14500000
Jérémy Le Douaron;FRA;FW;Brest;fr Ligue 1;23;32;16;1446;5;6,7;5;37;16;43,2;0,14;0,31;13,7;0;0;0;4,1;4,1;0,12;0,9;0,9;205;315;65,1;2425000
Jérémy Morel;MAD;DF;Lorient;fr Ligue 1;37;9;6;604;0;0,2;0;1;0;0;0;0;8,1;0;0;0;0;0;0,05;0;0;253;296;85,5;366666
Jérémy Pied;FRA;DF,FW;Lille;fr Ligue 1;32;2;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;23;69,6;800000
Jérôme Boateng;GER;DF;Lyon;fr Ligue 1;32;24;19;1622;0;1,7;0;5;3;60;0;0;16,4;0;0;0;0,3;0,3;0,06;-0,3;-0,3;980;1110;88,3;4642857
Jérôme Hergault;FRA;DF;Lorient;fr Ligue 1;35;8;5;352;0;0,2;0;1;0;0;0;0;15,1;0;0;0;0,1;0,1;0,09;-0,1;-0,1;165;220;75;283333
Jérôme Phojo;FRA;DF;Clermont Foot;fr Ligue 1;28;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;100;300000
Jérôme Roussillon;FRA;DF;Wolfsburg;de Bundesliga;28;26;18;1775;1;2,4;1;12;5;41,7;0,08;0,2;23,4;0;0;0;1;1;0,09;0;0;696;929;74,9;6100000
Jürgen Locadia;NED;FW,MF;Bochum;de Bundesliga;27;11;4;444;1;1,8;2;17;7;41,2;0,06;0,14;19,1;0;1;1;2;1,2;0,07;0;-0,2;97;123;78,9;2460000
Kaan Ayhan;TUR;DF;Sassuolo;it Serie A;26;23;14;1354;1;0,4;1;5;1;20;0,2;1;15,7;2;0;0;0,3;0,3;0,06;0,7;0,7;788;869;90,7;4700000
Kacper Urbanski;POL;MF;Bologna;it Serie A;16;1;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;26;76,9;225000
Kai Havertz;GER;FW,MF;Chelsea;eng Premier League;22;29;22;1809;8;11,6;8;56;23;41,1;0,14;0,35;12,2;0;0;0;9,7;9,7;0,17;-1,7;-1,7;546;669;81,6;68333333
Kaide Gordon;ENG;FW;Liverpool;eng Premier League;16;1;0;9;0;0,4;0;1;1;100;0;0;19;0;0;0;0,4;0,4;0,45;-0,4;-0,4;4;4;100;1250000
Kaio Jorge;BRA;MF,FW;Juventus;it Serie A;19;9;0;121;0;1,2;0;5;1;20;0;0;11,1;0;0;0;0,9;0,9;0,18;-0,9;-0,9;29;38;76,3;8714285
Kaj Sierhuis;NED;FW;Reims;fr Ligue 1;23;2;1;80;0;0,2;0;2;0;0;0;0;19;0;0;0;0,1;0,1;0,04;-0,1;-0,1;22;27;81,5;2275000
Kalidou Koulibaly;SEN;DF;Napoli;it Serie A;30;27;27;2405;3;2,2;3;11;7;63,6;0,27;0,43;14,3;0;0;0;1,7;1,7;0,16;1,3;1,3;1425;1630;87,4;39666666
Kalifa Coulibaly;MLI;FW;Nantes;fr Ligue 1;29;21;9;850;5;5,6;5;27;11;40,7;0,19;0,45;8,9;0;0;0;4,1;4,1;0,15;0,9;0,9;119;202;58,9;1600000
Kalvin Phillips;ENG;MF;Leeds United;eng Premier League;25;20;18;1596;0;0,9;0;15;3;20;0;0;23,9;1;0;0;0,6;0,6;0,04;-0,6;-0,6;769;944;81,5;39625000
Kamaldeen Sulemana;GHA;MF,FW;Rennes;fr Ligue 1;19;20;11;1015;4;3,8;4;26;8;30,8;0,15;0,5;20;0;0;0;2,5;2,5;0,09;1,5;1,5;287;359;79,9;17000000
Kamory Doumbia;MLI;MF,FW;Reims;fr Ligue 1;18;8;2;352;2;1;2;4;2;50;0,5;1;15,9;0;0;0;0,6;0,6;0,15;1,4;1,4;138;169;81,7;1450000
Karim Azamoum;FRA;DF;Troyes;fr Ligue 1;31;7;4;388;0;0,1;0;3;3;100;0;0;21,1;1;0;0;0,1;0,1;0,04;-0,1;-0,1;108;145;74,5;340000
Karim Bellarabi;GER;FW,DF;Leverkusen;de Bundesliga;31;16;9;683;3;3,4;3;28;11;39,3;0,11;0,27;17,3;0;0;0;2,2;2,2;0,08;0,8;0,8;199;267;74,5;4100000
Karim Benzema;FRA;FW;Real Madrid;es La Liga;33;32;31;2593;20;24,7;27;118;47;39,8;0,17;0,43;15,5;3;7;11;23,5;15,2;0,13;3,5;4,8;1058;1249;84,7;28000000
Karim Onisiwo;AUT;FW;Mainz 05;de Bundesliga;29;31;28;2361;5;14,4;5;65;19;29,2;0,08;0,26;13,4;0;0;0;8,2;8,2;0,13;-3,2;-3,2;357;573;62,3;3500000
Karim Rekik;NED;DF;Sevilla;es La Liga;26;18;11;1098;0;0,7;0;4;0;0;0;0;8,3;0;0;0;0,4;0,4;0,09;-0,4;-0,4;693;757;91,5;4083333
Karl Darlow;ENG;GK;Newcastle Utd;eng Premier League;30;8;8;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;253;60,1;2214285
Karl Toko Ekambi;CMR;FW;Lyon;fr Ligue 1;28;30;26;2296;10;15,2;12;74;36;48,6;0,14;0,28;14,2;0;2;2;12,3;10,8;0,15;-0,3;-0,8;751;945;79,5;13666666
Karol Fila;POL;DF;Strasbourg;fr Ligue 1;23;16;7;560;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;383;77,8;1266666
Karol Linetty;POL;MF,FW;Torino;it Serie A;26;16;11;896;0;2,3;0;13;2;15,4;0;0;18,4;0;0;0;0,9;0,9;0,07;-0,9;-0,9;227;284;79,9;4400000
Kasey McAteer;ENG;FW;Leicester City;eng Premier League;19;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100;275000
Kasper Dolberg;DEN;FW;Nice;fr Ligue 1;23;26;19;1492;4;6,1;6;39;13;33,3;0,1;0,31;15,5;0;2;2;6,4;4,9;0,13;-0,4;-0,9;175;243;72;17428571
Kasper Schmeichel;DEN;GK;Leicester City;eng Premier League;34;37;37;3330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;902;1253;72;4900000
Keanan Bennetts;ENG;FW,DF;M'Gladbach;de Bundesliga;22;4;0;50;0;0;0;1;0;0;0;0;19,6;0;0;0;0;0;0,04;0;0;17;23;73,9;925000
Keidi Bare;ALB;MF;Espanyol;es La Liga;23;25;18;1481;1;1,5;1;5;1;20;0,2;1;12,7;0;0;0;0,5;0,5;0,11;0,5;0,5;750;872;86;2916666
Keinan Davis;ENG;FW;Aston Villa;eng Premier League;23;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;100;2833333
Keita Baldé;SEN;FW,MF;Cagliari;it Serie A;26;26;14;1229;3;4,2;3;26;9;34,6;0,12;0,33;12,2;0;0;0;3,2;3,2;0,12;-0,2;-0,2;199;269;74;5000000
Keita Endo;JPN;MF,FW;Union Berlin;de Bundesliga;23;4;0;55;0;0,1;0;2;1;50;0;0;17,3;0;0;0;0,1;0,1;0,03;-0,1;-0,1;18;27;66,7;1040000
Kelechi Iheanacho;NGA;FW;Leicester City;eng Premier League;24;26;13;1264;4;6,1;4;31;11;35,5;0,13;0,36;17,1;0;0;0;3,4;3,4;0,11;0,6;0,6;271;352;77;18400000
Kelvin Amian;FRA;DF;Spezia;it Serie A;23;32;31;2646;1;3,6;1;26;7;26,9;0,04;0,14;14,2;0;0;0;2,4;2,4;0,09;-1,4;-1,4;900;1137;79,2;3440000
Kelvin Yeboah;ITA;FW;Genoa;it Serie A;21;17;9;850;0;2,7;0;16;4;25;0;0;17,4;0;0;0;1,4;1,4;0,08;-1,4;-1,4;121;186;65,1;3414285
Ken Sema;SWE;MF,FW;Watford;eng Premier League;27;18;7;852;0;1,4;0;3;1;33,3;0;0;21,1;1;0;0;0,2;0,2;0,06;-0,2;-0,2;132;213;62;3400000
Kenedy;BRA;DF;Chelsea;eng Premier League;25;1;1;58;0;1;0;1;0;0;0;0;17;0;0;0;0,1;0,1;0,08;-0,1;-0,1;38;49;77,6;7500000
Kenny McLean;SCO;MF;Norwich City;eng Premier League;29;31;29;2706;1;2,6;1;34;6;17,6;0,03;0,17;18,9;0;0;0;1,9;1,9;0,06;-0,9;-0,9;782;1060;73,8;2700000
Kepa Arrizabalaga;ESP;GK;Chelsea;eng Premier League;26;4;4;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;139;82,7;12200000
Kerem Demirbay;GER;MF;Leverkusen;de Bundesliga;28;29;23;2049;0;6;1;36;11;30,6;0;0;24,6;6;1;2;3,4;1,9;0,05;-2,4;-1,9;1071;1400;76,5;14500000
Keven Schlotterbeck;GER;DF;Freiburg;de Bundesliga;24;12;3;315;0;0,1;0;1;0;0;0;0;14,9;0;0;0;0,1;0,1;0,07;-0,1;-0,1;94;114;82,5;5142857
Kevin Agudelo;COL;MF,FW;Spezia;it Serie A;22;23;12;1237;3;3,3;3;22;11;50;0,14;0,27;16,6;0;0;0;2,5;2,5;0,11;0,5;0,5;284;385;73,8;3450000
Kevin Akpoguma;NGA;DF;Hoffenheim;de Bundesliga;26;26;19;1527;2;3,3;2;12;4;33,3;0,17;0,5;12,7;0;0;0;1,2;1,2;0,1;0,8;0,8;721;930;77,5;5333333
Kevin Behrens;GER;FW;Union Berlin;de Bundesliga;30;24;2;499;2;4,6;2;16;7;43,8;0,13;0,29;11,1;0;0;0;2,7;2,7;0,17;-0,7;-0,7;127;184;69;1016666
Kevin Bonifazi;ITA;DF;Bologna;it Serie A;25;22;14;1210;0;1,5;0;9;0;0;0;0;13,3;0;0;0;0,7;0,7;0,08;-0,7;-0,7;556;673;82,6;5016666
Kevin Danso;AUT;DF;Lens;fr Ligue 1;22;33;32;2790;2;1,8;2;13;4;30,8;0,15;0,5;10,5;0;0;0;1,6;1,6;0,12;0,4;0,4;1620;1839;88,1;8666666
Kevin De Bruyne;BEL;MF;Manchester City;eng Premier League;30;30;25;2201;15;15,9;15;77;31;40,3;0,19;0,48;18,6;7;0;0;6,4;6,4;0,08;8,6;8,6;1172;1553;75,5;91000000
Kevin Kampl;SVN;MF;RB Leipzig;de Bundesliga;30;27;25;1899;0;1,9;0;8;2;25;0;0;20,3;0;0;0;0,6;0,6;0,07;-0,6;-0,6;1357;1489;91,1;8600000
Kevin Lasagna;ITA;FW,MF;Hellas Verona;it Serie A;28;28;11;1184;2;5,7;2;41;16;39;0,05;0,13;16,1;0;0;0;3,5;3,5;0,09;-1,5;-1,5;192;287;66,9;3750000
Kevin Long;IRL;DF;Burnley;eng Premier League;30;6;4;410;0;0,2;0;4;0;0;0;0;11,6;0;0;0;0,2;0,2;0,04;-0,2;-0,2;80;98;81,6;940000
Kevin Mbabu;SUI;DF;Wolfsburg;de Bundesliga;26;24;14;1391;0;2,6;0;5;0;0;0;0;10,6;0;0;0;0,4;0,4;0,07;-0,4;-0,4;614;873;70,3;9714285
Kevin Möhwald;GER;MF;Union Berlin;de Bundesliga;28;16;3;354;0;0,8;0;10;2;20;0;0;20,9;0;0;0;0,5;0,5;0,05;-0,5;-0,5;142;178;79,8;2087500
Kevin Paredes;USA;FW,DF;Wolfsburg;de Bundesliga;18;2;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;66,7;3750000
Kevin Schade;GER;FW,MF;Freiburg;de Bundesliga;19;21;7;831;4;2,8;4;19;9;47,4;0,21;0,44;12,9;0;0;0;2,3;2,2;0,11;1,7;1,8;109;194;56,2;7568750
Kevin Strootman;NED;MF;Cagliari;it Serie A;31;10;7;640;0;0,2;0;1;0;0;0;0;15,2;0;0;0;0;0;0,02;0;0;293;358;81,8;3160000
Kevin Stöger;AUT;MF,FW;Mainz 05;de Bundesliga;27;23;1;419;1;3,1;1;16;6;37,5;0,06;0,17;20,4;3;0;0;1,6;1,6;0,1;-0,6;-0,6;239;329;72,6;2366666
Kevin Trapp;GER;GK;Eint Frankfurt;de Bundesliga;31;32;32;2880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;813;1246;65,2;7100000
Kevin Vogt;GER;DF;Hoffenheim;de Bundesliga;29;30;29;2569;0;0,5;0;3;0;0;0;0;29,8;0;0;0;0;0;0,01;0;0;1908;2156;88,5;4200000
Kevin Volland;GER;MF,FW;Monaco;fr Ligue 1;29;34;29;2436;8;11,9;9;50;23;46;0,16;0,35;12,9;2;1;1;7,9;7,1;0,14;1,1;0,9;432;645;67;20000000
Kevin Vázquez;ESP;DF;Celta Vigo;es La Liga;28;17;16;1334;0;0,9;0;3;1;33,3;0;0;11;0;0;0;0,4;0,4;0,13;-0,4;-0,4;689;875;78,7;1120000
Kevin-Prince Boateng;GHA;MF,FW;Hertha BSC;de Bundesliga;34;18;8;696;0;0,7;0;10;2;20;0;0;21,1;0;0;0;0,3;0,3;0,03;-0,3;-0,3;253;326;77,6;1450000
Keylor Navas;CRC;GK;Paris S-G;fr Ligue 1;34;21;21;1856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;552;91,7;8200000
Ki-Jana Hoever;NED;DF;Wolves;eng Premier League;19;8;4;308;0;0,1;0;1;0;0;0;0;22,2;0;0;0;0;0;0,02;0;0;113;159;71,1;5500000
Kieran Dowell;ENG;FW,MF;Norwich City;eng Premier League;23;19;11;912;1;3,2;1;8;2;25;0,13;0,5;22,1;3;0;0;1,2;1,2;0,15;-0,2;-0,2;235;342;68,7;2540000
