jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Benoît Badiashile;FRA;DF;Monaco;fr Ligue 1;20;24;21;1838;1;1,9;1;14;4;28,6;0,07;0,25;9,4;0;0;0;1,5;1,5;0,11;-0,5;-0,5;1205;1347;89,5;30800000
Benoît Costil;FRA;GK;Bordeaux;fr Ligue 1;34;25;25;2250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;623;899;69,3;2000000
Berat Djimsiti;ALB;DF;Atalanta;it Serie A;28;31;25;2256;1;2,9;1;18;3;16,7;0,06;0,33;12,1;0;0;0;1,8;1,8;0,1;-0,8;-0,8;1213;1427;85;19333333
Bernardo Silva;POR;MF,FW;Manchester City;eng Premier League;26;35;33;2857;8;12;8;47;19;40,4;0,17;0,42;12,4;0;0;0;6,8;6,8;0,14;1,2;1,2;1698;1921;88,4;75000000
Bernd Leno;GER;GK;Arsenal;eng Premier League;29;4;4;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;111;64,9;15000000
Bertrand Traoré;BFA;MF,FW;Aston Villa;eng Premier League;25;9;1;220;0;0,3;0;8;1;12,5;0;0;16,8;0;0;0;0,3;0,3;0,04;-0,3;-0,3;62;83;74,7;17200000
Beto;GNB;FW;Udinese;it Serie A;23;28;24;2173;11;12,1;11;64;26;40,6;0,17;0,42;12,8;0;0;0;10,6;10,6;0,17;0,4;0,4;267;375;71,2;7331250
Beñat Turrientes;ESP;MF;Real Sociedad;es La Liga;19;8;1;207;0;0,6;0;7;2;28,6;0;0;21,1;0;0;0;0,4;0,4;0,06;-0,4;-0,4;81;94;86,2;2057142
Billy Gilmour;SCO;MF;Norwich City;eng Premier League;20;24;21;1855;0;3;0;18;3;16,7;0;0;22,3;2;0;0;1;1;0,06;-1;-1;958;1200;79,8;11500000
Birger Meling;NOR;DF;Rennes;fr Ligue 1;26;31;20;1829;0;1,6;0;3;1;33,3;0;0;16,1;0;0;0;0,1;0,1;0,05;-0,1;-0,1;977;1131;86,4;5071428
Bjarki Bjarkason;ISL;FW;Venezia;it Serie A;21;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;50;150000
Bonke Innocent;NGA;MF;Lorient;fr Ligue 1;25;12;11;874;0;0,5;0;3;1;33,3;0;0;14,3;0;0;0;0,2;0,2;0,05;-0,2;-0,2;337;380;88,7;1283333
Boris Radunović;SRB;GK;Cagliari;it Serie A;25;3;3;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;103;56,3;425000
Borja Iglesias;ESP;FW;Betis;es La Liga;28;33;18;1573;7;9,3;10;38;17;44,7;0,18;0,41;14,8;0;3;3;8,5;6,2;0,16;1,5;0,8;242;340;71,2;14142857
Borja Mayoral;ESP;FW;Getafe;es La Liga;24;18;11;1044;5;3,1;6;16;6;37,5;0,31;0,83;15,8;0;1;1;2,7;2;0,12;3,3;3;194;252;77;10833333
Borna Sosa;CRO;DF;Stuttgart;de Bundesliga;23;28;28;2498;1;6,7;1;25;6;24;0,04;0,17;22;2;0;0;0,9;0,9;0,03;0,1;0,1;1311;1786;73,4;16500000
Bosko Sutalo;CRO;DF;Hellas Verona;it Serie A;21;24;6;920;0;0,3;0;5;1;20;0;0;16,8;0;0;0;0,3;0,3;0,05;-0,3;-0,3;383;487;78,6;3125000
Boubacar Kamara;FRA;MF,DF;Marseille;fr Ligue 1;21;34;31;2778;1;2,5;1;22;3;13,6;0,05;0,33;19,5;0;0;0;1,1;1,1;0,05;-0,1;-0,1;2204;2426;90,8;29500000
Boubacar Traoré;MLI;MF;Metz;fr Ligue 1;19;27;17;1726;1;1,8;1;22;5;22,7;0,05;0,2;27,4;0;0;0;0,8;0,8;0,04;0,2;0,2;622;744;83,6;2158333
Boubakary Soumaré;FRA;MF;Leicester City;eng Premier League;22;19;12;1102;0;0,8;0;6;2;33,3;0;0;17,4;0;0;0;0,4;0,4;0,07;-0,4;-0,4;449;551;81,5;24833333
Boulaye Dia;SEN;FW;Villarreal;es La Liga;24;25;13;1269;5;6,9;5;37;11;29,7;0,14;0,45;14,1;0;0;0;5;5;0,14;0;0;195;257;75,9;13142857
